Country Name,Rank,Male,Female,Average,Forest area (1000 ha),Country Code,Population
Monaco,1,85.6,93.5,89.4,0.0,MCO,38964.0
Japan,2,81.9,88.8,85.3,24935.0,JPN,126264931.0
Singapore,3,82.6,88.1,85.2,16.0,SGP,5703569.0
San Marino,5,80.8,86.1,83.3,1.0,SMR,33860.0
Iceland,6,80.9,85.4,83.1,51.0,ISL,361313.0
Andorra,8,80.7,85.2,82.9,16.0,AND,77142.0
Switzerland,10,80.3,85.1,82.6,1269.0,CHE,8574832.0
Israel,11,80.7,84.5,82.5,140.0,ISR,9053300.0
Luxembourg,13,79.9,84.9,82.3,89.0,LUX,619896.0
Australia,14,79.8,84.9,82.3,134005.0,AUS,25364307.0
Italy,15,79.6,85.1,82.3,9566.0,ITA,60297396.0
Sweden,16,80.2,84.2,82.1,27980.0,SWE,10285453.0
Canada,17,79.3,84.7,81.9,346928.0,CAN,37589262.0
Liechtenstein,19,79.7,84.7,81.9,7.0,LIE,38019.0
Norway,21,79.8,84.0,81.9,12180.0,NOR,5347896.0
Spain,22,78.8,84.9,81.8,18572.0,ESP,47076781.0
Austria,23,78.9,84.4,81.6,3899.0,AUT,8877067.0
Bermuda,25,78.2,84.6,81.4,1.0,BMU,63918.0
Netherlands,26,79.3,83.7,81.4,370.0,NLD,17332850.0
Cayman Islands,27,78.6,84.1,81.3,13.0,CYM,64948.0
New Zealand,29,79.1,83.5,81.3,9893.0,NZL,4917000.0
Belgium,30,78.5,83.8,81.1,689.0,BEL,11484055.0
Finland,31,78.0,84.1,81.0,22409.0,FIN,5520314.0
Ireland,32,78.6,83.4,80.9,782.0,IRL,4941444.0
Puerto Rico,33,77.6,84.4,80.9,496.0,PRI,3193694.0
Germany,34,78.5,83.3,80.8,11419.0,DEU,83132799.0
United Kingdom,35,78.6,83.1,80.8,3190.0,GBR,66834405.0
Greece,36,78.0,83.4,80.7,3902.0,GRC,10716322.0
Qatar,43,77.7,82.2,80.0,0.0,QAT,2832067.0
Denmark,47,77.1,82.1,79.5,628.0,DNK,5818553.0
Portugal,48,76.2,82.9,79.4,3312.0,PRT,10269417.0
Chile,51,75.9,82.1,78.9,18211.0,CHL,18952038.0
Cuba,52,76.5,81.3,78.8,3242.0,CUB,11333483.0
Cyprus,53,76.0,81.8,78.8,173.0,CYP,1198575.0
Panama,56,76.0,81.7,78.8,4214.0,PAN,4246439.0
Czech Republic,57,75.8,81.9,78.8,2677.0,CZE,10669709.0
Costa Rica,58,76.1,81.5,78.7,3035.0,CRI,5047561.0
Albania,59,75.8,81.4,78.5,789.0,ALB,2854191.0
Slovenia,61,74.8,82.2,78.3,1238.0,SVN,2087946.0
Dominican Republic,62,76.0,80.6,78.3,2144.0,DOM,10738958.0
Kuwait,64,76.8,79.6,78.2,6.0,KWT,4207083.0
New Caledonia,65,73.9,82.0,77.9,838.0,NCL,287800.0
Lebanon,67,76.5,79.1,77.8,143.0,LBN,6855713.0
Poland,68,73.9,81.8,77.8,9483.0,POL,37970874.0
United Arab Emirates,69,75.0,80.4,77.7,317.0,ARE,9770529.0
Paraguay,71,74.7,80.2,77.4,16102.0,PRY,7044636.0
Uruguay,72,74.2,80.6,77.4,2031.0,URY,3461734.0
Argentina,74,74.2,80.6,77.3,28573.0,ARG,44938712.0
Dominica,76,74.2,80.3,77.2,48.0,DMA,71808.0
Morocco,77,74.0,80.3,77.1,5742.0,MAR,36471769.0
Algeria,78,75.6,78.4,77.0,1949.0,DZA,43053054.0
Ecuador,79,74.0,80.1,77.0,12498.0,ECU,17373662.0
